ExposureShare,GLM,XGBoost
0.625,0.4364890820823571,0.4410341174483594
0.63,0.4423136246487822,0.4444832373961255
0.635,0.44609317363505435,0.4463082811780382
0.64,0.4501169243139287,0.44953339725645647
0.645,0.45426090644038003,0.4515846614943056
0.65,0.4563552567889131,0.4542891118277504
0.655,0.4580799487715523,0.4570475503576608
0.66,0.48032544930072507,0.4594340878234669
0.665,0.48562261253400185,0.46192754561215416
0.67,0.48862286015825124,0.46489956560580015
0.675,0.49126646654377953,0.4686317548792354
0.68,0.49375627740924466,0.4712427584868103
0.685,0.49819363424822677,0.47730681039063405
0.6900000000000001,0.5023556923868617,0.4820168828135681
0.6950000000000001,0.5073833633708719,0.4858118279859167
0.7000000000000001,0.5100371668283846,0.4888911918909805
0.705,0.51260814712184,0.49345354893341564
0.71,0.5177427496177616,0.50769265746902
0.715,0.5215651481920598,0.5104003852945889
0.72,0.5247767171740858,0.521281743283693
0.725,0.5288759004608621,0.5417109007029776
0.73,0.5354502202008555,0.5451843695555398
0.735,0.5408176359505035,0.5480380942300335
0.74,0.5474631511265555,0.551712473339203
0.745,0.5523508966973312,0.556701361794693
0.75,0.5597940677715587,0.562208843506038
0.755,0.5627119554712687,0.5672358684691752
0.76,0.5810365831785061,0.5692382111323463
0.765,0.5869330149090024,0.583491901558256
0.77,0.590863453288506,0.5883769760067994
0.775,0.5952323145071947,0.5909789053421407
0.78,0.5979910160875205,0.5944452724998623
0.785,0.6035864900970045,0.5970453981990834
0.79,0.6077053509087873,0.5994537146919274
0.795,0.6138304334102708,0.6038330157239767
0.8,0.620758992767467,0.6091479735441765
0.805,0.6263140430846259,0.6146090848830335
0.81,0.63387253758857,0.619031088088212
0.8150000000000001,0.6391830264529993,0.6243571462491019
0.8200000000000001,0.646526322506831,0.6290407298820457
0.8250000000000001,0.6502451252219951,0.633073498741521
0.8300000000000001,0.6569812177467756,0.6382291398842257
0.835,0.6641572079338425,0.642132488317552
0.84,0.6700241306300575,0.6507358740294367
0.845,0.6764543757908108,0.6597789755441076
0.85,0.6867129744937631,0.6639320957712022
0.855,0.6920939840798455,0.6865197649307644
0.86,0.6973141847575839,0.6904330644151895
0.865,0.7067619179828621,0.6945064764980353
0.87,0.7306702888115741,0.704661176089495
0.875,0.742943019091534,0.71347015919702
0.88,0.751145597373024,0.7183005335464193
0.885,0.757825405812787,0.7249536181915933
0.89,0.7638387837619598,0.7444179737176839
0.895,0.770699520598455,0.7585084655382779
0.9,0.7873676289329101,0.7630580772078296
0.905,0.7915941489297699,0.7721172540224823
0.91,0.8090041155272316,0.7836372665059265
0.915,0.817156909583416,0.7905302595316647
0.92,0.8252730148763343,0.7984586216624228
0.925,0.8402108473069834,0.8045967648104493
0.93,0.8489535124801391,0.8113420176791067
0.935,0.8589967443458352,0.8196200865943246
0.9400000000000001,0.8683330622930847,0.8281488735025089
0.9450000000000001,0.8782734957160512,0.8352412813542818
0.9500000000000001,0.884828247860728,0.8430949106875057
0.9550000000000001,0.892139422750969,0.8532301271404789
0.96,0.9042521622867434,0.8617047701495609
0.965,0.918547375027301,0.8746481619699903
0.97,0.9460929168707652,0.8856899391272994
0.975,0.958346008309603,0.8991863634989595
0.98,0.9659160847686,0.9189930698060235
0.985,0.9752372375537383,0.9352252723187582
0.99,0.9795939636378228,0.95341163415141
0.995,0.9881670300545317,0.9789740955786764
1.0,0.9999999999896146,0.9999999999999937
